name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,5,12,09,2012
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,6,04,09,2012
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,7,04,09,2012
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,8,,,
Value Connect GmbH,HRB,139844,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,26,08,2015
Value Connect GmbH,HRB,139844,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,1,25,03,2014
Value Connect GmbH,HRB,139844,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,2,11,01,2012
Sammlerwelt GmbH,HRB,208417,Hannover,Gesellschaft mit beschränkter Haftung,0,17,04,2012
infraVest Asset GmbH,HRB,28241 HB,Bremen,Gesellschaft mit beschränkter Haftung,0,22,11,2012
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,0,03,08,2012
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,1,03,08,2012
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,2,,,
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,3,,,
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,4,,,
Heppner & Sokolowski GmbH,HRB,6810,Recklinghausen,Gesellschaft mit beschränkter Haftung,5,,,
Mercsworld Verwaltungs-GmbH,HRB,740180,Stuttgart,Gesellschaft mit beschränkter Haftung,0,31,01,2012
Boysen Verwaltungs GmbH,HRB,9224 FL,Flensburg,Gesellschaft mit beschränkter Haftung,0,12,01,2012
TSHS GmbH,HRB,12135,Rostock,Gesellschaft mit beschränkter Haftung,0,23,04,2014
TSHS GmbH,HRB,12135,Rostock,Gesellschaft mit beschränkter Haftung,1,31,01,2012
Verwaltung MS Barbara P GmbH,HRB,203567,Tostedt,Gesellschaft mit beschränkter Haftung,0,06,09,2012
Festus Licensing UG (haftungsbeschränkt),HRB,145645,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,17,01,2013
Festus Licensing UG (haftungsbeschränkt),HRB,145645,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,1,12,12,2012
Festus Licensing UG (haftungsbeschränkt),HRB,145645,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,2,06,11,2012
pbb GmbH pflegen-beraten-betreuen,HRB,8562,Passau,Gesellschaft mit beschränkter Haftung,0,15,06,2012
Optik Philippe Lafont GmbH,HRB,100091,Saarbrücken,Gesellschaft mit beschränkter Haftung,0,,,
Optik Philippe Lafont GmbH,HRB,100091,Saarbrücken,Gesellschaft mit beschränkter Haftung,1,,,
Optik Philippe Lafont GmbH,HRB,100091,Saarbrücken,Gesellschaft mit beschränkter Haftung,2,,,
Optik Philippe Lafont GmbH,HRB,100091,Saarbrücken,Gesellschaft mit beschränkter Haftung,3,,,
LZ Beteiligungs GmbH,HRB,728006,Ulm,Gesellschaft mit beschränkter Haftung,0,14,06,2012
WAGO - Wagner & Gottinger Gebäudetechnik GmbH,HRB,8515,Passau,Gesellschaft mit beschränkter Haftung,0,20,09,2016
WAGO - Wagner & Gottinger Gebäudetechnik GmbH,HRB,8515,Passau,Gesellschaft mit beschränkter Haftung,1,11,04,2012
IHM - Institute for Heritage Management GmbH,HRB,9175,Cottbus,Gesellschaft mit beschränkter Haftung,0,26,09,2016
IHM - Institute for Heritage Management GmbH,HRB,9175,Cottbus,Gesellschaft mit beschränkter Haftung,1,19,02,2013
IHM - Institute for Heritage Management GmbH,HRB,9175,Cottbus,Gesellschaft mit beschränkter Haftung,2,21,03,2012
Handelsgesellschaft Lara mbH,HRB,11891 HL,Lübeck,Gesellschaft mit beschränkter Haftung,0,06,07,2016
Handelsgesellschaft Lara mbH,HRB,11891 HL,Lübeck,Gesellschaft mit beschränkter Haftung,1,12,03,2012
Zukunftswege UG (haftungsbeschränkt),HRB,9673,Neuruppin,Gesellschaft mit beschränkter Haftung,0,31,07,2012
Karsten Twietmeyer Verwaltungs GmbH,HRB,8243,Königstein,Gesellschaft mit beschränkter Haftung,0,23,06,2017
Karsten Twietmeyer Verwaltungs GmbH,HRB,8243,Königstein,Gesellschaft mit beschränkter Haftung,1,17,07,2012
BAR Buhck Verwaltung GmbH,HRB,121749,Hamburg,Gesellschaft mit beschränkter Haftung,0,06,02,2012
BAR Buhck Verwaltung GmbH,HRB,121749,Hamburg,Gesellschaft mit beschränkter Haftung,1,06,02,2012
PBR Verwaltungs GmbH,HRB,8546,Passau,Gesellschaft mit beschränkter Haftung,0,31,05,2012
F. M. Autohandel Falkiewicz GmbH,HRB,9609,Neuruppin,Gesellschaft mit beschränkter Haftung,0,03,08,2012
F. M. Autohandel Falkiewicz GmbH,HRB,9609,Neuruppin,Gesellschaft mit beschränkter Haftung,1,01,03,2012
F. M. Autohandel Falkiewicz GmbH,HRB,9609,Neuruppin,Gesellschaft mit beschränkter Haftung,2,19,12,2011
Schneider Bau- und Möbeltischlerei UG (haftungsbeschränkt),HRB,19572,Bonn,Gesellschaft mit beschränkter Haftung,0,04,09,2012
Trachtsetter GmbH,HRB,198419,München,Gesellschaft mit beschränkter Haftung,0,09,08,2012
Trachtsetter GmbH,HRB,198419,München,Gesellschaft mit beschränkter Haftung,1,25,04,2012
WPT GmbH,HRB,206583,Osnabrück,Gesellschaft mit beschränkter Haftung,0,07,09,2012
Brink-Logistik UG (haftungsbeschränkt),HRB,10740,Paderborn,Gesellschaft mit beschränkter Haftung,0,26,07,2012
HYDAC Verwaltung GmbH,HRB,19999,Saarbrücken,Gesellschaft mit beschränkter Haftung,0,03,02,2017
HYDAC Verwaltung GmbH,HRB,19999,Saarbrücken,Gesellschaft mit beschränkter Haftung,1,09,10,2015
HYDAC Verwaltung GmbH,HRB,19999,Saarbrücken,Gesellschaft mit beschränkter Haftung,2,24,02,2012
HYDAC Verwaltung GmbH,HRB,19999,Saarbrücken,Gesellschaft mit beschränkter Haftung,3,16,02,2012
HYDAC Verwaltung GmbH,HRB,19999,Saarbrücken,Gesellschaft mit beschränkter Haftung,4,19,01,2012
Stilgut GmbH,HRB,139282,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,17,01,2012
Grundstücksgesellschaft Marktstraße 140 mbH,HRB,124877,Hamburg,Gesellschaft mit beschränkter Haftung,0,18,12,2018
Grundstücksgesellschaft Marktstraße 140 mbH,HRB,124877,Hamburg,Gesellschaft mit beschränkter Haftung,1,18,10,2012
