firm;date;hrid;postcode;city;hrsection
Sauer + Staudacher Kommunikation GmbH & Co. KG; 9. November 2007;HRA 14720;90402;Nürnberg;HRA
Mississippi GmbH & Co. KG; 13. Juli 2007;HRA 14618;90402;Nürnberg;HRA
IPEC - Projektentwicklung und Consulting GmbH; 24. August 2007;HRB 23667;90402;Nürnberg;HRB
Tertius Intelligent Services Ltd.; 20. Dezember 2007;HRB 43158;63065;Offenbach am Main;HRB
FundInside GmbH; 26. März 2007;HRB 42767;63065;Offenbach am Main;HRB
HDWPartner GmbH; 24. September 2007;HRB 43036;63065;Offenbach am Main;HRB
Metrostyle GmbH; 26. Februar 2007;HRB 42714;63065;Offenbach am Main;HRB
time:matters Holding GmbH; 13. August 2007;HRB 42983;63065;Offenbach am Main;HRB
Roland Maienschein GmbH; 17. September 2007;HRB 43012;63065;Offenbach am Main;HRB
CRUISE ENERGY GmbH; 19. November 2007;HRB 43113;63065;Offenbach am Main;HRB
Stadtwerke Fuhrpark Service GmbH; 20. Dezember 2007;HRB 43171;63065;Offenbach am Main;HRB
bauconn GmbH; 10. April 2007;HRB 42790;63065;Offenbach am Main;HRB
La Ragazza Limited; 5. Februar 2007;HRB 42683;63065;Offenbach am Main;HRB
Maitre Tonini GmbH; 20. Dezember 2007;HRB 43166;63065;Offenbach am Main;HRB
Logicpark 10 GmbH; 18. Juni 2007;HRB 42885;63065;Offenbach am Main;HRB
RAF Bauunternehmen GmbH; 4. Juli 2007;HRB 42919;63065;Offenbach am Main;HRB
Energieberatung PREUSS GmbH; 11. Januar 2007;HRB 42650;63065;Offenbach am Main;HRB
DENA Import-Export und Consulting GmbH; 9. Juli 2007;HRB 42926;63065;Offenbach am Main;HRB
ELEM Deutschland GmbH; 5. März 2007;HRB 42726;63065;Offenbach am Main;HRB
NW Nord-Westbau GmbH; 6. Januar 2007;HRB 201009;26122;Oldenburg (Oldenburg);HRB
Mende Holding GmbH; 19. Oktober 2007;HRB 201710;26135;Oldenburg (Oldenburg);HRB
Dirk Slotta GmbH Werkstätte für Möbel/Innenausbau; 16. November 2007;HRB 201785;26135;Oldenburg (Oldenburg);HRB
Coners-Transport-GmbH i.Gr.; 4. Juli 2007;HRB 201472;26135;Oldenburg (Oldenburg);HRB
TRITON Photovoltaik Alpha GmbH & Co. KG; 14. Februar 2007;HRA 200667;26135;Oldenburg (Oldenburg);HRA
VENTERA GmbH; 29. Mai 2007;HRB 201395;26135;Oldenburg (Oldenburg);HRB
GE-Versand GmbH; 15. Juni 2007;HRB 201444;26135;Oldenburg (Oldenburg);HRB
Frank Dödtmann Beteiligungs GmbH; 12. Januar 2007;HRB 201022;26135;Oldenburg (Oldenburg);HRB
BAI-Consult GmbH; 30. Oktober 2007;HRB 201730;26135;Oldenburg (Oldenburg);HRB
TC-Digitaldruck GmbH; 14. Februar 2007;HRB 201128;26135;Oldenburg (Oldenburg);HRB
ABATUS INVESTMENT AG; 15. Juni 2007;HRB 201436;26135;Oldenburg (Oldenburg);HRB
UH Data Beteiligungs GmbH; 14. September 2007;HRB 201640;26135;Oldenburg (Oldenburg);HRB
Gilberthof Grundstücks GmbH; 23. März 2007;HRB 201199;26135;Oldenburg (Oldenburg);HRB
GM Wienken Bioenergie GmbH & Co. KG; 23. März 2007;HRA 200748;26135;Oldenburg (Oldenburg);HRA
InterContract 2000 Gesellschaft für Projektmanagement mbH; 16. November 2007;HRB 201787;26135;Oldenburg (Oldenburg);HRB
W & F der Reifen-Service Uwe Weber - Christian Frölje GmbH; 17. August 2007;HRB 201574;26135;Oldenburg (Oldenburg);HRB
Thedieck Baustoffhandel GmbH; 7. Juni 2007;HRB 201416;26135;Oldenburg (Oldenburg);HRB
Clausen Grundbesitz GmbH & Co. KG; 18. April 2007;HRA 200808;26135;Oldenburg (Oldenburg);HRA
KME Vermögensverwaltungs GmbH; 31. Mai 2007;HRB 201399;26135;Oldenburg (Oldenburg);HRB
JUB Wirtschafts- und Unternehmensberatungs-GmbH; 21. Dezember 2007;HRB 201873;26135;Oldenburg (Oldenburg);HRB
Ingenieurgesellschaft Hölzen mbH; 2. März 2007;HRB 201175;26135;Oldenburg (Oldenburg);HRB
SFB-Baugesellschaft Limited; 6. Juli 2007;HRB 201484;26135;Oldenburg (Oldenburg);HRB
WI Wertimmobilien Beteiligungsgesellschaft mbH; 7. Dezember 2007;HRB 201849;26135;Oldenburg (Oldenburg);HRB
Alternoil GmbH; 14. Februar 2007;HRB 201122;26135;Oldenburg (Oldenburg);HRB
Zwölfte DT BIOGAS Beteiligungsgesellschaft mbH; 3. Mai 2007;HRB 201313;26135;Oldenburg (Oldenburg);HRB
Lingemann Schweinemast GmbH & Co. KG; 29. Mai 2007;HRA 200850;26135;Oldenburg (Oldenburg);HRA
QTEX Consulting Limited; 14. Februar 2007;HRB 201074;26135;Oldenburg (Oldenburg);HRB
Anyfix Company GmbH; 23. März 2007;HRB 201203;26135;Oldenburg (Oldenburg);HRB
Neubourg GmbH & Co. KG; 6. Juli 2007;HRA 200908;26135;Oldenburg (Oldenburg);HRA
Kofferworld.de online-Vertriebs GmbH; 31. August 2007;HRB 201603;26135;Oldenburg (Oldenburg);HRB
Metallbau Eckhoff GmbH & Co. KG; 19. Oktober 2007;HRA 201014;26135;Oldenburg (Oldenburg);HRA
TRITON Photovoltaik Gamma GmbH & Co. KG; 30. November 2007;HRA 201081;26135;Oldenburg (Oldenburg);HRA
Hartlage Beteiligungs-GmbH; 16. April 2007;HRB 201248;26135;Oldenburg (Oldenburg);HRB
PSC Systemtechnik GmbH; 5. Oktober 2007;HRB 201687;26135;Oldenburg (Oldenburg);HRB
Kalksandsteinwerk Cottbus GmbH & Co. KG; 6. Januar 2007;HRA 200442;49074;Osnabrück;HRA
Windpark Gölenkamp Infrastruktur GmbH & Co. KG; 25. September 2007;HRA 200809;49074;Osnabrück;HRA
Reekers Elektro Limited; 25. Juni 2007;HRB 201134;49074;Osnabrück;HRB
MS ANNA J Verwaltungsgesellschaft mbH; 29. Mai 2007;HRB 201032;49074;Osnabrück;HRB
VZO Versandzentrum Osnabrück Beteiligungsgesellschaft mbH; 13. August 2007;HRB 201279;49074;Osnabrück;HRB
ADO Immobilien GmbH & Co. KG; 3. September 2007;HRA 200788;49074;Osnabrück;HRA
Luhi Trade GmbH; 11. Juni 2007;HRB 201066;49074;Osnabrück;HRB
Thomas Küchen Verwaltung GmbH; 29. Mai 2007;HRB 201031;49074;Osnabrück;HRB
Harren & Partner Schiffahrts GmbH & Co. KG MS PARAIBA; 6. August 2007;HRA 200739;49074;Osnabrück;HRA
Vinke & Sohn GmbH & Co. KG; 27. Dezember 2007;HRA 200906;49074;Osnabrück;HRA
spirit & food Marketing GmbH & Co. KG; 15. Oktober 2007;HRA 200834;49074;Osnabrück;HRA
Arndt, Möller, Witte GmbH & Co. KG.; 9. Juli 2007;HRA 200685;49074;Osnabrück;HRA
H & P Dockschiff Verwaltungs GmbH; 27. Dezember 2007;HRB 201574;49074;Osnabrück;HRB
Jonker International Management GmbH; 16. Juli 2007;HRB 201205;49074;Osnabrück;HRB
INWIMA GmbH; 7. Mai 2007;HRB 200968;49074;Osnabrück;HRB
Warzecha Bau GmbH; 16. April 2007;HRB 200903;49074;Osnabrück;HRB
O & K Fleisch GmbH; 7. Mai 2007;HRB 200961;49074;Osnabrück;HRB
S&M Immobilien GmbH & Co. KG; 10. Dezember 2007;HRA 200899;49074;Osnabrück;HRA
Sibum Neunte Schiffahrts GmbH & Co. KG; 4. Juni 2007;HRA 200627;49074;Osnabrück;HRA
House of Trends europe GmbH; 10. April 2007;HRB 200889;49074;Osnabrück;HRB
Lenferink Motorcycles GmbH; 11. Juni 2007;HRB 201081;49074;Osnabrück;HRB
DASEECO GmbH; 29. Mai 2007;HRB 201036;49074;Osnabrück;HRB
Hollenbeck GmbH & Co. KG; 3. Dezember 2007;HRA 200891;49074;Osnabrück;HRA
DIRRITAS GmbH; 30. Juli 2007;HRB 201246;49074;Osnabrück;HRB
Demann KG; 9. Juli 2007;HRA 200691;49074;Osnabrück;HRA
Hüllsieck Recycling GmbH & Co. KG; 6. März 2007;HRA 200505;49074;Osnabrück;HRA
MB Energiegesellschaft mbH.; 6. Januar 2007;HRB 200661;49074;Osnabrück;HRB
JASPORE Gesellschaft für Immobilienverwaltung mbH & Co. KG; 10. Dezember 2007;HRA 200892;49074;Osnabrück;HRA
MS AMISIA J Verwaltungsgesellschaft mbH; 29. Mai 2007;HRB 201033;49074;Osnabrück;HRB
HR Group Verwaltungs GmbH; 27. Dezember 2007;HRB 201578;49074;Osnabrück;HRB
Car Rent Plus GmbH; 18. September 2007;HRB 201369;49074;Osnabrück;HRB
KD Handels GmbH; 2. Juli 2007;HRB 201144;49074;Osnabrück;HRB
Event & Food Company GmbH; 2. Juli 2007;HRB 201145;49074;Osnabrück;HRB
Prüftec technische Prüfgesellschaft mbH; 18. September 2007;HRB 201365;49074;Osnabrück;HRB
Immobiliengesellschaft - Staelscher Hof - Rheine mbH; 2. April 2007;HRB 200870;49074;Osnabrück;HRB
WELLFIT Well- und Fitnesscenter Limited & Co. KG; 8. Oktober 2007;HRA 200818;49074;Osnabrück;HRA
Rolfes Metallbedachung und Bauklempnerei GmbH & Co. KG; 6. März 2007;HRA 200508;49074;Osnabrück;HRA
Hemmers & Konjer GmbH & Co KG; 15. Oktober 2007;HRA 200830;49074;Osnabrück;HRA
VS-Bau GmbH; 23. Juli 2007;HRB 201216;49074;Osnabrück;HRB
Bohlmann GmbH; 16. April 2007;HRB 200904;49074;Osnabrück;HRB
Fünfundzwanzigste WMS Vermögensverwaltungs GmbH & Co. KG; 10. Dezember 2007;HRA 200894;49074;Osnabrück;HRA
Ingenieurbüro Wredenhagen GmbH; 23. April 2007;HRB 200920;49074;Osnabrück;HRB
Corona Vermögensverwaltungs- und Beteiligungsgesellschaft mbH; 19. Januar 2007;HRB 8293;33098;Paderborn;HRB
futuremedia GmbH; 30. März 2007;HRB 8367;33098;Paderborn;HRB
DrWood Möbel Verwaltungs GmbH; 26. Oktober 2007;HRB 8575;33098;Paderborn;HRB
dentalign GmbH; 20. Juni 2007;HRB 8448;33098;Paderborn;HRB
Bürger Bioenergie GmbH; 13. Juli 2007;HRB 8468;33098;Paderborn;HRB
Harlekin Gastronomie- und Casinobetriebe GmbH; 20. Juni 2007;HRB 8444;33098;Paderborn;HRB
MBBS Vertriebs GmbH; 22. Februar 2007;HRB 8332;33098;Paderborn;HRB
FairTradeFuel AG; 18. September 2007;HRB 8531;33098;Paderborn;HRB
Metzgerland Fleischprodukte GmbH; 28. November 2007;HRB 7251;94032;Passau;HRB
SAREMO Metalldesign GmbH; 20. Dezember 2007;HRB 7285;94032;Passau;HRB
Petuelpark Immobilien GmbH & Co. Bauträger KG; 28. November 2007;HRA 11979;94032;Passau;HRA
Autohaus Ortner GmbH & Co. KG; 20. Dezember 2007;HRA 11989;94032;Passau;HRA
Donau Verwaltungs GmbH; 20. September 2007;HRB 7222;94032;Passau;HRB
Hotel Drei Quellen GmbH; 20. Dezember 2007;HRB 7275;94032;Passau;HRB
sigmos GmbH; 13. März 2007;HRB 7069;94032;Passau;HRB
Oasis Passau Verwaltungs GmbH; 26. Juni 2007;HRB 7160;94032;Passau;HRB
Schierbecker Transport GmbH & Co. KG; 22. Februar 2007;HRA 5080 PI;25421;Pinneberg;HRA
Bruder & Walte Steuerberatungsgesellschaft mbH; 22. Februar 2007;HRB 6821 PI;25421;Pinneberg;HRB
Baumschule Manthey GmbH; 2. November 2007;HRB 7161 PI;25421;Pinneberg;HRB
OC-Automobile GmbH & Co. KG; 29. Juni 2007;HRA 5096 PI;25421;Pinneberg;HRA
LMA Heide Ltd. & Co. KG; 23. Mai 2007;HRA 5129 PI;25421;Pinneberg;HRA
Hamann Tor-Technik GmbH & Co. KG; 22. Februar 2007;HRA 5083 PI;25421;Pinneberg;HRA
Semmelhaack 56. Grundbesitzverwaltung KG; 9. November 2007;HRA 5294 PI;25421;Pinneberg;HRA
Böge Verwaltungs GmbH; 30. März 2007;HRB 6830 PI;25421;Pinneberg;HRB
Yusun Dönerproduktion GmbH; 3. September 2007;HRB 7057 PI;25421;Pinneberg;HRB
Semmelhaack Grundvermögen 2. GmbH & Co. KG; 17. Dezember 2007;HRA 5328 PI;25421;Pinneberg;HRA
FEC-Family Entertainment Consulting GmbH; 31. Mai 2007;HRB 6919 PI;25421;Pinneberg;HRB
Dithmarscher Sonne GmbH & Co. KG; 23. Mai 2007;HRA 5117 PI;25421;Pinneberg;HRA
MWB Verwaltungsgesellschaft mbH; 13. Juli 2007;HRB 6989 PI;25421;Pinneberg;HRB
Biesterfeldt Grundstücksgesellschaft mbH & Co. KG; 15. Juni 2007;HRA 5165 PI;25421;Pinneberg;HRA
MVZ Norderstedt GmbH; 3. August 2007;HRB 7020 PI;25421;Pinneberg;HRB
TSD-Technik GmbH; 2. Oktober 2007;HRB 20556 P;14467;Potsdam;HRB
Chiger Finanz Potsdam GmbH; 6. November 2007;HRB 20646 P;14467;Potsdam;HRB
Agrar GmbH Welsickendorf; 3. Juli 2007;HRB 20332 P;14467;Potsdam;HRB
PHI -w.203 Projekt AG & Co. KG; 20. März 2007;HRA 4282 P;14467;Potsdam;HRA
General von Bülow Gaststätten Betriebs GmbH; 12. September 2007;HRB 20514 P;14467;Potsdam;HRB
Airport Brandenburg-Briest AG; 7. August 2007;HRB 20431 P;14467;Potsdam;HRB
Neubauer Fenster und Türen Potsdam GmbH; 21. August 2007;HRB 20450 P;14467;Potsdam;HRB
FAHEMIS GmbH & Co. KG; 10. Oktober 2007;HRA 4388 P;14467;Potsdam;HRA
Green 14. GmbH; 12. September 2007;HRB 20485 P;14467;Potsdam;HRB
Fishing-Pro GmbH; 10. Oktober 2007;HRB 20578 P;14467;Potsdam;HRB
META Stahlarmierung GmbH; 7. August 2007;HRB 20430 P;14467;Potsdam;HRB
Marktplatz Immobilienverwaltung GmbH; 21. August 2007;HRB 20466 P;14467;Potsdam;HRB
Business Invest 4. Beteiligungsfonds GmbH & Co. KG; 8. Mai 2007;HRA 4312 P;14467;Potsdam;HRA
Märkische Windkraft 33 GmbH & Co. KG; 6. März 2007;HRA 4255 P;14467;Potsdam;HRA
P.A.Z.-Brandenburg GmbH & Co. KG; 29. Mai 2007;HRA 4329 P;14467;Potsdam;HRA
BESTA Berlin Personalservice GmbH & Co. KG; 10. Juli 2007;HRA 4350 P;14467;Potsdam;HRA
Chairos Consulting GmbH; 13. November 2007;HRB 20659 P;14467;Potsdam;HRB
GHD Gesellschaft für Handel & Dienstleistung mbH; 13. März 2007;HRB 20083 P;14467;Potsdam;HRB
dysco FLP GmbH; 22. Mai 2007;HRB 20237 P;14467;Potsdam;HRB
ABC-Baubetreuung GmbH; 20. Februar 2007;HRB 20045 P;14467;Potsdam;HRB
InvestInvent 7. Windpark GmbH & Co. KG; 11. Dezember 2007;HRA 4460 P;14467;Potsdam;HRA
Schnipp Schnapp Barbershop GmbH; 13. April 2007;HRB 5679;45657;Recklinghausen;HRB
Slibotex Textiles Ltd. Niederlassung Deutschland; 30. November 2007;HRB 5780;45657;Recklinghausen;HRB
B&B-Pharma GmbH; 2. November 2007;HRB 5762;45657;Recklinghausen;HRB
Aufwind Schmack Betriebs GmbH & Co. Vierzehnte Biogas KG; 7. Dezember 2007;HRA 7753;93049;Regensburg;HRA
QHAUS GmbH; 7. Dezember 2007;HRB 10718;93049;Regensburg;HRB
S-Refit EFRE Fonds Bayern GmbH; 28. September 2007;HRB 10655;93049;Regensburg;HRB
Feriendorf Glasgarten GmbH; 25. April 2007;HRB 10471;93049;Regensburg;HRB
Baierl Verwaltungs-GmbH; 8. Januar 2007;HRB 10394;93049;Regensburg;HRB
Broll Systemtechnik KG; 25. April 2007;HRA 7634;93049;Regensburg;HRA
FUBA-SYSTEM Sportartikel-Vertriebs GmbH; 28. September 2007;HRB 10651;93049;Regensburg;HRB
G-Automatisierung GmbH; 25. April 2007;HRB 10490;93049;Regensburg;HRB
Aufwind Schmack Betriebs GmbH & Co. Fünfzehnte Biogas KG; 7. Dezember 2007;HRA 7767;93049;Regensburg;HRA
Arbeit und Leben Bayern GmbH; 28. September 2007;HRB 10648;93049;Regensburg;HRB
ESOLAN Ried GmbH & Co. KG; 8. Juni 2007;HRA 7647;93049;Regensburg;HRA
Denko GmbH; 12. Juli 2007;HRB 10594;93049;Regensburg;HRB
Laßleben Beteiligungsgesellschaft mit beschränkter Haftung; 8. Januar 2007;HRB 10391;93049;Regensburg;HRB
European Carbon Fiber GmbH; 12. Juli 2007;HRB 10571;93049;Regensburg;HRB
Bauer IT-Solutions Ltd.; 25. April 2007;HRB 10491;93049;Regensburg;HRB
Euro-Schulen Bayern GmbH; 7. Dezember 2007;HRB 10756;93049;Regensburg;HRB
Broll Verwaltungs GmbH; 25. April 2007;HRB 10479;93049;Regensburg;HRB
NSI NORD-SCRIM Institut für Griffigkeitsmessungen GmbH; 28. Februar 2007;HRB 10523;18057;Rostock;HRB
NRL Concept Natursteine Rohstoffe Logistik Limited Zweigniederlassung Rostock; 20. März 2007;HRB 10560;18057;Rostock;HRB
Warnow Hydraulik GmbH; 4. Juli 2007;HRB 10661;18057;Rostock;HRB
HOMTRANS Service Verwaltungs GmbH; 27. November 2007;HRB 10777;18057;Rostock;HRB
Hanse Eventconsulting GmbH; 20. März 2007;HRB 10558;18057;Rostock;HRB
arvato services Rostock GmbH; 20. Juni 2007;HRB 10650;18057;Rostock;HRB
Schneider Beteiligungs GmbH & Co. KG; 25. April 2007;HRA 2615;18057;Rostock;HRA
Carstop1 Reifen- und Autoservice GmbH; 30. Oktober 2007;HRB 10747;18057;Rostock;HRB
VILCON LTD.; 12. Januar 2007;HRB 10486;18057;Rostock;HRB
Lauer GmbH & Co. KG; 26. März 2007;HRA 10157;66123;Saarbrücken;HRA
Kleber Grundstücksverwaltungsgesellschaft mbH & Co. KG; 1. August 2007;HRA 10246;66123;Saarbrücken;HRA
KVG Kreiter Vermögensverwaltung GmbH & Co. KG; 3. Juli 2007;HRA 10223;66123;Saarbrücken;HRA
Küchen DIY-Vertriebs GmbH; 30. Mai 2007;HRB 16417;66123;Saarbrücken;HRB
Pfeiffer Nutzfahrzeugservice GmbH; 4. April 2007;HRB 16299;66123;Saarbrücken;HRB
MVZ Medizinisches Versorgungszentrum Saarbrücken GmbH; 19. Dezember 2007;HRB 16775;66123;Saarbrücken;HRB
KARSTEN SCHWARZ KG; 24. Januar 2007;HRA 10112;66123;Saarbrücken;HRA
STT-Sicherheitstechnik und -technologie GmbH; 30. Mai 2007;HRB 16421;66123;Saarbrücken;HRB
AKASHA-CONSULT KG; 17. Januar 2007;HRA 10089;66123;Saarbrücken;HRA
MD Gastro GmbH; 17. Januar 2007;HRB 16148;66123;Saarbrücken;HRB
Rossler Haustechnik Ltd. & Co KG; 30. Mai 2007;HRA 10201;66123;Saarbrücken;HRA
Brigitta und Josef Schwinn Geschäftsführungs GmbH; 18. April 2007;HRB 16343;66123;Saarbrücken;HRB
Herrmann GmbH & Co. KG; 25. Juli 2007;HRA 10232;66123;Saarbrücken;HRA
HIT GmbH; 7. März 2007;HRB 16251;66123;Saarbrücken;HRB
Site Point GmbH; 25. Juli 2007;HRB 16513;66123;Saarbrücken;HRB
Bickelmann GmbH & Co. KG; 25. April 2007;HRA 10180;66123;Saarbrücken;HRA
Rünagel MSR-Technik GmbH; 1. August 2007;HRB 5233;97421;Schweinfurt;HRB
Gastroworkx GmbH; 16. Mai 2007;HRB 5178;97421;Schweinfurt;HRB
Neunte Boll Kino Beteiligungsgesellschaft mbH & Co. KG; 3. Januar 2007;HRA 8644;97421;Schweinfurt;HRA
RD Energie Aschach Verwaltungs GmbH; 1. August 2007;HRB 5220;97421;Schweinfurt;HRB
Sarré Grundbesitz GmbH & Co. KG; 1. August 2007;HRA 8720;97421;Schweinfurt;HRA
Basel GmbH; 16. Mai 2007;HRB 5186;97421;Schweinfurt;HRB
FXM Financial Ltd.; 11. Dezember 2007;HRB 5264;97421;Schweinfurt;HRB
G & G Verwaltungs GmbH; 21. September 2007;HRB 9584;19053;Schwerin;HRB
GESMEX GmbH; 29. Juni 2007;HRB 9499;19053;Schwerin;HRB
Ambulanter Pflegedienst Seehof GmbH; 26. Juli 2007;HRB 9520;19053;Schwerin;HRB
RSW Rohstoffe Schreier Wismar Limited; 23. Februar 2007;HRB 9345;19053;Schwerin;HRB
German Pellets Solutions GmbH; 9. November 2007;HRB 9625;19053;Schwerin;HRB
MBC Kapitalbeteiligungen Verwaltungsges. mbH; 11. Mai 2007;HRB 9439;19053;Schwerin;HRB
AGRAR Plate GmbH; 11. Mai 2007;HRB 9424;19053;Schwerin;HRB
C.S.E. GmbH; 21. September 2007;HRB 9585;19053;Schwerin;HRB
ALEKS Line GmbH; 13. Juli 2007;HRB 9515;19053;Schwerin;HRB
sperling Ltd. & Co. KG; 7. Dezember 2007;HRA 2778;19053;Schwerin;HRA
Agro Dorf Gutow GmbH; 7. Dezember 2007;HRB 9647;19053;Schwerin;HRB
Autohaus Stephan Winkler GmbH; 30. November 2007;HRB 9642;19053;Schwerin;HRB
TelDaFax Marketing GmbH; 5. November 2007;HRB 9891;53721;Siegburg;HRB
Willms Verwaltungs GmbH; 6. Februar 2007;HRB 9629;53721;Siegburg;HRB
Scheele Grundstücksverwaltung KG; 5. November 2007;HRA 4902;53721;Siegburg;HRA
M + B Raabeweg 1 Verwaltungs - GmbH; 10. April 2007;HRB 9691;53721;Siegburg;HRB
Securevents LTD. Niederlassung Deutschland; 24. April 2007;HRB 9707;53721;Siegburg;HRB
Immobiliengruppe Kittlaus & Bender GmbH; 17. September 2007;HRB 9841;53721;Siegburg;HRB
Liguana GmbH; 29. Oktober 2007;HRB 9884;53721;Siegburg;HRB
KuTro Beteiligungsgesellschaft mbH; 11. Dezember 2007;HRB 9933;53721;Siegburg;HRB
SHISHI GROUP GmbH; 12. November 2007;HRB 9900;53721;Siegburg;HRB
Der Weinversand W.I.E. GmbH; 11. Dezember 2007;HRB 9931;53721;Siegburg;HRB
KFZ Pfandhaus GmbH & Co. KG; 15. Mai 2007;HRA 4812;53721;Siegburg;HRA
DOMECO Gesellschaft für Projektentwicklung, Management und Unternehmensberatung mbH; 13. März 2007;HRB 9653;53721;Siegburg;HRB
S & K Immobilien GmbH; 19. März 2007;HRB 9662;53721;Siegburg;HRB
Viscotherm Service & Wartung GmbH Deutschland; 24. September 2007;HRB 9853;53721;Siegburg;HRB
Hombach Event Services GmbH; 7. Mai 2007;HRB 9717;53721;Siegburg;HRB
fresslé & fries GmbH; 2. Februar 2007;HRB 8253;57072;Siegen;HRB
Kölsch + Schröder Optische Systeme GmbH; 21. Dezember 2007;HRB 8449;57072;Siegen;HRB
Schmidt Immobilien GmbH & Co. KG; 12. Februar 2007;HRA 8093;57072;Siegen;HRA
Karl Heupel Verwaltungs-GmbH; 12. Februar 2007;HRB 8260;57072;Siegen;HRB
Gut Osterseifen Vermögensverwaltungsgesellschaft mbH; 4. Mai 2007;HRB 8311;57072;Siegen;HRB
Yükseloglu Fleischhandel GmbH; 28. Juni 2007;HRB 8351;57072;Siegen;HRB
Franz Schultze Vermögensverwaltungs-GmbH & Co. KG; 20. Februar 2007;HRA 8096;57072;Siegen;HRA
Bodega-Bremerhaven GmbH & Co. KG; 17. Oktober 2007;HRA 200115;31655;Stadthagen;HRA
Reiterwelt Systemvertriebsgesellschaft mbH; 30. Mai 2007;HRB 200205;31655;Stadthagen;HRB
Koch Immobilien-Service GmbH; 30. August 2007;HRB 200237;31655;Stadthagen;HRB
Steinert Industrie-Service GmbH & Co. KG; 8. November 2007;HRA 200116;31655;Stadthagen;HRA
Fair-Play Spielhallen und Unterhaltungsbetriebe GmbH; 11. Mai 2007;HRB 7630;48565;Steinfurt;HRB
Ijspeerd & Lucasse GmbH; 4. September 2007;HRB 7731;48565;Steinfurt;HRB
KETTNER Deutschland GmbH & Co. KG; 27. März 2007;HRA 5368;48565;Steinfurt;HRA
Hoppe + Franke GmbH & Co. KG; 13. Juli 2007;HRA 5422;48565;Steinfurt;HRA
Mettinger Baumarkt GmbH & Co. KG; 14. September 2007;HRA 5459;48565;Steinfurt;HRA
FoCuS Forst Forst Consulting und Service GmbH; 19. Januar 2007;HRB 7542;48565;Steinfurt;HRB
proZerspanung GmbH; 23. Februar 2007;HRB 7576;48565;Steinfurt;HRB
Forst- und Brunnenbau Fendesack GmbH & Co. KG; 13. Juli 2007;HRA 5425;48565;Steinfurt;HRA
Lutz Kaiser GmbH; 27. März 2007;HRB 7590;48565;Steinfurt;HRB
AGRIDEA Energie Produktion Könnern Süd GmbH; 2. November 2007;HRB 7006;39576;Stendal;HRB
SMB Steuerberatungsgesellschaft mbH; 4. Mai 2007;HRB 6359;39576;Stendal;HRB
JVZ Wedler GmbH & Co. KG; 4. Juli 2007;HRA 1661;39576;Stendal;HRA
Bender & Klause Engineering GmbH & Co. KG; 1. Juni 2007;HRA 1625;39576;Stendal;HRA
Lasisy Limited & Co. KG; 10. Dezember 2007;HRA 1824;39576;Stendal;HRA
HD Verwaltungsgesellschaft mbH; 25. Juni 2007;HRB 6592;39576;Stendal;HRB
L + N Elektro GmbH; 12. Juni 2007;HRB 6527;39576;Stendal;HRB
Technische Betreuungs- und Verwaltungsgesellschaft mbH; 16. Mai 2007;HRB 6441;39576;Stendal;HRB
I & E Handelsgesellschaft mbH; 16. August 2007;HRB 6768;39576;Stendal;HRB
German Consulting24 Limited; 12. Januar 2007;HRB 5966;39576;Stendal;HRB
Windpark Büchse Verwaltungs-GmbH; 12. Januar 2007;HRB 5965;39576;Stendal;HRB
Colombo Italia Limited; 25. Juni 2007;HRB 6587;39576;Stendal;HRB
WITRA Service GmbH; 12. Januar 2007;HRB 5956;39576;Stendal;HRB
Frank Gniese GmbH; 27. Juli 2007;HRB 6697;39576;Stendal;HRB
gero biogasanlagenfond nr. 10 gmbh & co. kg; 1. Juni 2007;HRA 1611;39576;Stendal;HRA
Wasserschloss zu Gommern Ltd. & Co. Besitz KG; 24. September 2007;HRA 1745;39576;Stendal;HRA
Brüderhaus GmbH & Co.KG; 16. Februar 2007;HRA 1470;39576;Stendal;HRA
PI - Home Management's KG; 31. August 2007;HRA 1720;39576;Stendal;HRA
Liebig Haustechnik Ltd. & Co KG; 16. August 2007;HRA 1692;39576;Stendal;HRA
Theodor-Storm-Buchhandlung GmbH; 18. Dezember 2007;HRB 7129;39576;Stendal;HRB
AD Industry Group GmbH; 16. März 2007;HRB 6216;39576;Stendal;HRB
ECOPOWER BIOFUELS AG Niederlassung Genthin; 9. Februar 2007;HRB 6127;39576;Stendal;HRB
INTAPROF Verwaltungs GmbH; 16. August 2007;HRB 6729;39576;Stendal;HRB
MD Hausverwaltung GmbH; 9. Februar 2007;HRB 6059;39576;Stendal;HRB
Werbeagentur CREATIV GmbH; 16. Juli 2007;HRB 6643;39576;Stendal;HRB
Händler & Schneider GmbH; 10. Dezember 2007;HRB 7101;39576;Stendal;HRB
Koblinski Landschafts- und Gewässerbau GmbH; 5. April 2007;HRB 6265;39576;Stendal;HRB
artimento objekt & design GmbH; 16. Mai 2007;HRB 6412;39576;Stendal;HRB
FB Dept. Limited; 9. Februar 2007;HRB 6105;39576;Stendal;HRB
OHG Rothschuh Hotel zur Talsperre Altenbrak; 16. November 2007;HRA 1802;39576;Stendal;HRA
Deetz I van Ginkel/de Vries OHG; 10. Dezember 2007;HRA 1832;39576;Stendal;HRA
Diakonie und Johanniter Zentrum für Medizinische Versorgung Nördliche Altmark GmbH; 18. Dezember 2007;HRB 7144;39576;Stendal;HRB
Landsberger Profilservice GmbH; 26. Oktober 2007;HRB 6975;39576;Stendal;HRB
